Sample,Accelerometer Angle (Deg),Gyroscope Angle (Deg),Complementary Angle (Deg)
92,-16.84,3.74,-16.73
93,-16.79,3.74,-16.73
94,-16.79,3.75,-16.73
95,-16.69,3.76,-16.72
96,-16.8,3.77,-16.74
97,-16.73,3.78,-16.73
98,-16.76,3.79,-16.73
99,-16.78,3.79,-16.73
100,-16.72,3.81,-16.73
101,-16.75,3.81,-16.72
102,-16.75,3.82,-16.73
103,-16.79,3.83,-16.72
104,-16.79,3.84,-16.73
105,-16.71,3.85,-16.72
106,-16.75,3.86,-16.75
107,-16.86,3.86,-16.75
108,-16.75,3.87,-16.75
109,-16.86,3.88,-16.75
110,-16.74,3.89,-16.74
111,-16.71,3.9,-16.73
112,-16.73,3.9,-16.74
113,-16.73,3.9,-16.73
114,-16.77,3.91,-16.73
115,-16.85,3.92,-16.74
116,-16.77,3.93,-16.74
